Study,DOI,region_code,Subregion (Upper Kup= 9 ; Imn = 17),slope_degrees_min,slope_degrees_max,maat_min,maat_max,map_total,map_rain,map_snow,Sarah CAVM veg community,Sarah Koppen,Latitude (N),Longitude (E),defs
"Cantlon, 1961",NA,AK,NA,,,,,,,,NA,NA,NA,NA,NA
"Chapin et al., 1988",10.2307/1941017,AK,North Slope Toolik Area (Everett Pond),5,5,,,,,,G4,Dfc,68.75,-149.56667,Distinct bands of vegetation 5-15 m wide and with a soil surface 10-20 cm lower than adjacent tundra
"Cheng et al., 1998",10.2136/sssaj1998.03615995006200030016x,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,Soil from water tracks is found in small drainage-ways of intermittent water flow in the midslope areas
"Del Vecchio et al., 2023",10.1029/2023JF007156,AK,Seward,15,20,-11,-6,,400,300,S2,ET,65.04697,-166.26831,"curvilinear, zero-order geomorphic features that concentrate surface and subsurface flow paths in permafrost uplands"
"Evans et al., 2020",10.1029/2019JF005256,AK,Upper Kuparuk River,4.8,4.8,-10,-10,,,,S1,Dfc,68.61667,-149.33333,"zero‐order geomorphic features that streak periglacial landscapes and transmit water downslope from upland areas to larger rivers
downstream"
"Griffin et al., 2018",10.1657/1938-4246-45.1.39,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,shallow drainage channels spaced tens of meters apart and are common on the mid- to lower portions of most hills
"Harley et al., 1989",,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,NA
"Harms & Ludwig, 2016",10.1007/s10533-016-0181-0,AK,Upper Kuparuk River,,,-10,-10,320,,,S1,Dfc,68.61667,-149.33333,zero-order channels that contain perennial subsurface flow
"Harms et al., 2019",10.1007/s10021-019-00355-z,AK,Upper Kuparuk River,,,-10,,334,,,S1,Dfc,68.61667,-149.33333,zero-order flowpaths which drain hillslopes in upland tundra
"Harms et al., 2020",10.1029/2020JG005889,AK,Upper Kuparuk River,,,-10,-10,320,,,S1,Dfc,68.61667,-149.33333,vegetated depressions that hydrologically connect hillslope soils to lakes and streams
"Hastings et al., 1989",10.1111/j.1600-0587.1989.tb00850.x,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,channel water flow to the valley bottom stream
"Hinzman et al., 1991",10.1016/0165-232X(91)90001-W,AK,Imnavait Creek,,,-7.4,-7.4,,,,S1,Dfc,68.63333,-149.41667,drain the hillslopes
"Kane et al., 1989",10.1111/j.1600-0587.1989.tb00845.x,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,Small drainage features that carry water off slope of the valley bottom
"Kane et al., 1991",10.1029/91WR00262,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,small channels that efficently carry water off the slopes towards the stream channel
"Kummerow et al, 1987",10.1111/j.1600-0587.1987.tb00774.x,AK,Imnavait Creek,10,10,,,166,,,S1,Dfc,68.63333,-149.41667,Undefined
"Matthes-Sears et al., 1988",10.1080/00040851.1988.12002682,AK,Imnavait Creek,10,10,,,,,,S1,Dfc,68.63333,-149.41667,zones of usually  several  meters  in  width  where water drained from a portion of the  slope  runs  downslope to feed into a permanent water course at the valley bottom
"McFadden et al.,  2001",10.1175/1520-0442(2001)014<0336:SSIIAT>2.0.CO;2,AK,Happy Valley,,,,,,,,S1,Dfc,69.1,-149,areas of subsurface drainage
"McNamara et al.,  2008",10.1002/hyp.6920,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,"a linear channel that flows directly down a slope draining an enhanced soil moisture zone, and is best detected by a change in vegetationfrom the surrounding hillslope"
"McNamara et al., 1997",10.1029/97WR01033,AK,Imnavait Creek,,,,,,180,120,S1,Dfc,68.63333,-149.41667,a linear zone of enhanced soil moisture that flows directly down a slope and is best detected by a change in vegetation from the surrounding hillslope
"McNamara et al., 1998",10.1029/97WR01033,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,"a linear channel that flows directly down a slope draining an enhanced soil moisture zone, and is best detected by a change in vegetation from the surrounding hillslope"
"McNamara et al., 1999",10.1016/S0169-555X(99)00017-3,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,linear zones of enhanced soil moisture in poorly defined depressions that overlying frozen ground and convey flow downslope perendicular to the elevation contours
"Murray et al., 1989",,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,channel water flow to the valley bottom stream
"Murray et al., 1993",10.1007/BF00317733,AK,Imnavait Creek,,,,,,,,S1,Dfc,68.63333,-149.41667,NA
