Please Reference Data Source with the following Citation Format:,,,,,,,,,,,,
Kane, D.L. and Hinzman L.D., [year of retrieval], Climate data from the North Slope Hydrology Research project.,,,,,,,,,
University of Alaska Fairbanks, Water and Environmental Research Center.,,,,,,,,,,,
URL: http://www.uaf.edu/water/projects/NorthSlope/. Fairbanks, Alaska, variously paged. [month and day of retrieval].,,,,,,,,,,
 ,,,,,,,,,,,,
Upper Kuparuk Site (UK),,,,,,,,,,,,
1994-2010 Daily Average Soil Data,,,,,,,,,,,,
"Lat:68  38' 24.5"" N",,,,,,,,,,,,
"Long:149  24' 23.4"" W",,,,,,,,,,,,
Elev:774 meters,,,,,,,,,,,,
,,,,,,,,,,,,
Col.  Data   Units            ,,,,,,,,,,,,
1. Date Time (Alaska Standard Time),,,,,,,,,,,,
2.  5 cm depth soil temperature   (degrees C)           ,,,,,,,,,,,,
3.   10 cm depth soil temperature  (degrees C)                      ,,,,,,,,,,,,
4.   15 cm depth soil temperature  (degrees C)                      ,,,,,,,,,,,,
5.   20 cm depth soil temperature  (degrees C)                       ,,,,,,,,,,,,
6.   25 cm depth soil temperature  (degrees C)                      ,,,,,,,,,,,,
7.   30 cm depth soil temperature  (degrees C)                                 ,,,,,,,,,,,,
8.   35 cm depth soil temperature  (degrees C)                                ,,,,,,,,,,,,
9.  40 cm depth soil temperature  (degrees C)                      ,,,,,,,,,,,,
10.  45 cm depth soil temperature  (degrees C)           ,,,,,,,,,,,,
11.  50 cm depth soil temperature  (degrees C)                     ,,,,,,,,,,,,
12.  55 cm depth soil temperature  (degrees C)           ,,,,,,,,,,,,
13.  60 cm depth soil temperature  (degrees C)           ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Note: 6999 denotes missing or invalid data.  7777 denotes data not collected.,,,,,,,,,,,,
     Additional soil data may exist in hourly data file,,,,,,,,,,,,
,,,,,,,,,,,,
Date Time (AST),5 cm depth soil temperature (degrees C),10 cm depth soil temperature (degrees C),15 cm depth soil temperature (degrees C),20 cm depth soil temperature (degrees C),25 cm depth soil temperature (degrees C),30 cm depth soil temperature (degrees C),35 cm depth soil temperature (degrees C),40 cm depth soil temperature (degrees C),45 cm depth soil temperature (degrees C),50 cm depth soil temperature (degrees C),55 cm depth soil temperature (degrees C),60 cm depth soil temperature (degrees C)
1/1/1994 0:00,-4.8,-4.4,-4.2,-3.9,-3.8,-3.6,-3.5,-3.5,-3.3,-3.2,-3.1,-3
1/2/1994 0:00,-5,-4.6,-4.4,-4.1,-3.9,-3.7,-3.7,-3.7,-3.4,-3.3,-3.2,-3.1
1/3/1994 0:00,-5.2,-4.8,-4.6,-4.2,-4.1,-3.8,-3.8,-3.8,-3.5,-3.5,-3.3,-3.2
1/4/1994 0:00,-5.3,-4.9,-4.7,-4.4,-4.2,-4,-3.9,-3.9,-3.6,-3.6,-3.4,-3.3
1/5/1994 0:00,-5.6,-5.2,-4.9,-4.6,-4.4,-4.1,-4.1,-4.1,-3.8,-3.7,-3.6,-3.5
1/6/1994 0:00,-6.3,-5.7,-5.4,-5,-4.8,-4.5,-4.4,-4.3,-4,-4,-3.8,-3.6
1/7/1994 0:00,-7,-6.3,-6,-5.5,-5.2,-4.9,-4.8,-4.7,-4.4,-4.3,-4.1,-3.9
1/8/1994 0:00,-7.5,-6.8,-6.4,-5.9,-5.7,-5.3,-5.2,-5.1,-4.7,-4.6,-4.4,-4.3
1/9/1994 0:00,-8,-7.3,-6.9,-6.4,-6.1,-5.7,-5.6,-5.5,-5.1,-5,-4.8,-4.6
1/10/1994 0:00,-8.3,-7.6,-7.3,-6.7,-6.5,-6.1,-5.9,-5.8,-5.5,-5.4,-5.1,-4.9
1/11/1994 0:00,-8.8,-8.1,-7.7,-7.1,-6.9,-6.4,-6.3,-6.2,-5.8,-5.7,-5.5,-5.3
1/12/1994 0:00,-8.6,-8.1,-7.8,-7.3,-7.1,-6.7,-6.6,-6.5,-6.1,-6,-5.8,-5.6
1/13/1994 0:00,-8.2,-7.8,-7.6,-7.2,-7,-6.7,-6.6,-6.5,-6.2,-6.1,-5.9,-5.8
1/14/1994 0:00,-8.2,-7.7,-7.5,-7.1,-7,-6.7,-6.6,-6.5,-6.3,-6.2,-6,-5.8
1/15/1994 0:00,-8.2,-7.8,-7.6,-7.2,-7,-6.7,-6.7,-6.6,-6.3,-6.2,-6,-5.9
1/16/1994 0:00,-8.1,-7.7,-7.6,-7.2,-7,-6.8,-6.7,-6.7,-6.4,-6.3,-6.1,-6
1/17/1994 0:00,-7.6,-7.4,-7.2,-7,-6.9,-6.6,-6.6,-6.6,-6.3,-6.3,-6.1,-6
1/18/1994 0:00,-7.7,-7.4,-7.2,-6.9,-6.8,-6.6,-6.5,-6.5,-6.3,-6.2,-6.1,-5.9
1/19/1994 0:00,-7.7,-7.4,-7.3,-7,-6.9,-6.6,-6.6,-6.6,-6.4,-6.3,-6.1,-6
1/20/1994 0:00,-7.9,-7.6,-7.4,-7.1,-6.9,-6.7,-6.7,-6.7,-6.4,-6.3,-6.2,-6.1
1/21/1994 0:00,-8.7,-8.2,-8,-7.5,-7.3,-7,-6.9,-6.9,-6.6,-6.6,-6.4,-6.2
1/22/1994 0:00,-9.3,-8.7,-8.4,-8,-7.8,-7.4,-7.3,-7.3,-7,-6.9,-6.7,-6.6
1/23/1994 0:00,-9.3,-8.8,-8.6,-8.2,-8,-7.7,-7.6,-7.5,-7.3,-7.2,-7,-6.8
1/24/1994 0:00,-8.8,-8.5,-8.4,-8.1,-7.9,-7.7,-7.6,-7.6,-7.3,-7.3,-7,-6.9
1/25/1994 0:00,-8.6,-8.3,-8.2,-7.9,-7.7,-7.5,-7.5,-7.5,-7.3,-7.2,-7,-6.9
1/26/1994 0:00,-8.5,-8.2,-8.1,-7.8,-7.7,-7.5,-7.5,-7.5,-7.2,-7.2,-7,-6.9
1/27/1994 0:00,-8.9,-8.5,-8.3,-7.9,-7.8,-7.6,-7.5,-7.5,-7.3,-7.2,-7,-6.9
1/28/1994 0:00,-9.3,-8.9,-8.6,-8.2,-8.1,-7.8,-7.8,-7.7,-7.5,-7.4,-7.2,-7.1
1/29/1994 0:00,-8.8,-8.7,-8.5,-8.2,-8.1,-7.9,-7.8,-7.8,-7.6,-7.5,-7.3,-7.2
1/30/1994 0:00,-8.1,-8,-8,-7.8,-7.7,-7.6,-7.6,-7.6,-7.4,-7.3,-7.2,-7.1
1/31/1994 0:00,-7.7,-7.7,-7.6,-7.5,-7.4,-7.3,-7.3,-7.3,-7.1,-7.1,-7,-6.9
2/1/1994 0:00,-7.4,-7.4,-7.4,-7.2,-7.2,-7.1,-7.1,-7.2,-6.9,-6.9,-6.8,-6.8
2/2/1994 0:00,-7,-7,-7,-6.9,-6.9,-6.8,-6.8,-6.9,-6.7,-6.7,-6.6,-6.6
2/3/1994 0:00,-6.9,-6.8,-6.8,-6.7,-6.7,-6.6,-6.6,-6.7,-6.5,-6.5,-6.4,-6.4
2/4/1994 0:00,-6.7,-6.7,-6.7,-6.6,-6.6,-6.5,-6.5,-6.6,-6.4,-6.4,-6.3,-6.3
2/5/1994 0:00,-6.6,-6.6,-6.6,-6.4,-6.4,-6.3,-6.4,-6.5,-6.3,-6.3,-6.2,-6.1
2/6/1994 0:00,-7.1,-6.9,-6.8,-6.6,-6.5,-6.4,-6.4,-6.5,-6.3,-6.2,-6.2,-6.1
2/7/1994 0:00,-7.8,-7.4,-7.3,-7,-6.8,-6.7,-6.6,-6.7,-6.5,-6.4,-6.3,-6.2
2/8/1994 0:00,-8,-7.7,-7.6,-7.3,-7.2,-7,-6.9,-6.9,-6.7,-6.7,-6.5,-6.4
2/9/1994 0:00,-7.9,-7.7,-7.5,-7.3,-7.2,-7,-7,-7,-6.8,-6.8,-6.6,-6.5
2/10/1994 0:00,-8.1,-7.8,-7.6,-7.4,-7.2,-7.1,-7.1,-7.1,-6.9,-6.8,-6.7,-6.6
2/11/1994 0:00,-8.4,-8.1,-7.9,-7.6,-7.5,-7.3,-7.2,-7.2,-7,-6.9,-6.8,-6.7
2/12/1994 0:00,-8.8,-8.4,-8.2,-7.9,-7.7,-7.5,-7.5,-7.5,-7.2,-7.2,-7,-6.9
2/13/1994 0:00,-8.9,-8.6,-8.4,-8.1,-7.9,-7.7,-7.7,-7.7,-7.4,-7.3,-7.2,-7.1
2/14/1994 0:00,-8.9,-8.6,-8.5,-8.1,-8,-7.8,-7.8,-7.8,-7.5,-7.5,-7.3,-7.2
2/15/1994 0:00,-8.8,-8.6,-8.4,-8.1,-8,-7.8,-7.8,-7.8,-7.6,-7.5,-7.4,-7.3
2/16/1994 0:00,-8.9,-8.6,-8.5,-8.2,-8.1,-7.9,-7.9,-7.9,-7.6,-7.6,-7.4,-7.3
2/17/1994 0:00,-9.1,-8.8,-8.6,-8.3,-8.2,-8,-7.9,-7.9,-7.7,-7.6,-7.5,-7.4
2/18/1994 0:00,-9.7,-9.3,-9,-8.6,-8.5,-8.2,-8.2,-8.2,-7.9,-7.9,-7.7,-7.6
2/19/1994 0:00,-10,-9.6,-9.4,-8.9,-8.7,-8.5,-8.5,-8.4,-8.2,-8.1,-7.9,-7.8
2/20/1994 0:00,-10.2,-9.9,-9.6,-9.2,-9,-8.8,-8.7,-8.7,-8.4,-8.4,-8.2,-8
2/21/1994 0:00,-10.3,-10,-9.7,-9.3,-9.1,-8.9,-8.9,-8.8,-8.6,-8.5,-8.3,-8.2
2/22/1994 0:00,-10.4,-10.1,-9.8,-9.4,-9.3,-9,-9,-9,-8.7,-8.7,-8.5,-8.3
