Site,ID,Northing,Easting,Elevation
WT1,thermocouple in,7617702.829,400890.169,769.270
WT1,thermocouple edge,7617703.611,400891.010,768.823
WT1,thermocouple out,7617703.712,400895.557,768.588
WT2,thermocouple in,7616022.393,402377.795,756.067
WT2,thermocouple edge,7616021.484,402378.002,756.198
WT2,thermocouple out,7616018.126,402378.865,756.350
WT3,thermocouple in,7615217.256,402791.906,765.871
WT3,thermocouple edge,7615216.149,402792.176,766.032
WT3,thermocouple out,7615211.302,402793.439,766.417
WT4,thermocouple in,7616412.358,402778.832,757.842
WT4,thermocouple edge,7616410.892,402779.653,757.825
WT4,thermocouple out,7616407.308,402783.102,761.328
WT5,thermocouple in,7614276.298,404382.067,826.487
WT5,thermocouple edge,7614275.402,404382.568,826.04
WT5,thermocouple out,7614273.728,404383.28,827.371
WT6,thermocouple in,7614127.696,404592.83,837.313
WT6,thermocouple edge,7614126.359,404593.318,835.915
WT6,thermocouple out,7614124.136,404592.622,842.848
